,data_id,treat,age,educ,black,hisp,marr,nodegree,re74,re75,re78,outcome,pscore
0,NSW,1.0,37.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,9930.046,9930.046,0.32
1,NSW,1.0,22.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,3595.894,3595.894,0.283
2,NSW,1.0,30.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,24909.45,24909.45,0.582
3,NSW,1.0,27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,7506.146,7506.146,0.846
4,NSW,1.0,33.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,289.7899,289.7899,0.872
5,NSW,1.0,22.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,4056.494,4056.494,0.783
6,NSW,1.0,23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.435
7,NSW,1.0,32.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,8472.158,8472.158,0.826
8,NSW,1.0,22.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,2164.022,2164.022,0.038
9,NSW,1.0,33.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,12418.07,12418.07,0.005
10,NSW,1.0,19.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,8173.908,8173.908,0.535
11,NSW,1.0,21.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,17094.64,17094.64,0.205
12,NSW,1.0,18.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42
13,NSW,1.0,27.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,18739.93,18739.93,0.606
14,NSW,1.0,17.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,3023.879,3023.879,0.276
15,NSW,1.0,19.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,3228.503,3228.503,0.495
16,NSW,1.0,27.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,14581.86,14581.86,0.455
17,NSW,1.0,23.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,7693.4,7693.4,0.801
18,NSW,1.0,40.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,10804.32,10804.32,0.233
19,NSW,1.0,26.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,10747.35,10747.35,0.561
20,NSW,1.0,23.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.754
21,NSW,1.0,41.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5149.501,5149.501,0.002
22,NSW,1.0,38.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,6408.95,6408.95,0.057
23,NSW,1.0,24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1991.4,1991.4,0.792
24,NSW,1.0,18.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,11163.17,11163.17,0.372
25,NSW,1.0,29.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,9642.999,9642.999,0.549
26,NSW,1.0,25.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,9897.049,9897.049,0.818
27,NSW,1.0,27.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,11142.87,11142.87,0.441
28,NSW,1.0,17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,16218.04,16218.04,0.25
29,NSW,1.0,24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,995.7002,995.7002,0.792
30,NSW,1.0,17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25
31,NSW,1.0,48.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,6551.592,6551.592,0.15
32,NSW,1.0,25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1574.424,1574.424,0.489
33,NSW,1.0,20.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226
34,NSW,1.0,25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,3191.753,3191.753,0.531
35,NSW,1.0,42.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,20505.93,20505.93,0.061
36,NSW,1.0,25.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,6181.88,6181.88,0.806
37,NSW,1.0,23.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,5911.551,5911.551,0.141
38,NSW,1.0,46.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,3094.156,3094.156,0.116
39,NSW,1.0,24.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.834
40,NSW,1.0,21.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1254.582,1254.582,0.299
41,NSW,1.0,19.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,13188.83,13188.83,0.024
42,NSW,1.0,17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,8061.485,8061.485,0.29
43,NSW,1.0,18.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,2787.96,2787.96,0.017
44,NSW,1.0,20.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,3972.54,3972.54,0.537
45,NSW,1.0,25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.489
46,NSW,1.0,17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.29
47,NSW,1.0,17.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.281
48,NSW,1.0,25.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,12187.41,12187.41,0.806
49,NSW,1.0,23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,4843.176,4843.176,0.435
50,NSW,1.0,28.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.902
